1342,Pride and Prejudice by Jane Austen 
11,Alice's Adventures in Wonderland by Lewis Carroll 
52228,Search the Sky by C. M.  Kornbluth and Frederik Pohl 
1661,The Adventures of Sherlock Holmes by Arthur Conan Doyle 
76,Adventures of Huckleberry Finn by Mark Twain 
30254,The Romance of Lust: A Classic Victorian erotic novel by Anonymous 
236,The Jungle Book by Rudyard Kipling 
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley "
52240,The Inner Flame by Clara Louise Burnham 
5200,Metamorphosis by Franz Kafka 
98,A Tale of Two Cities by Charles Dickens 
844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde 
345,Dracula by Bram Stoker 
2600,War and Peace by graf Leo Tolstoy 
4300,Ulysses by James Joyce 
52229,Adventures of Sonny Bear by Francis Margeret Fox 
1322,Leaves of Grass by Walt Whitman 
16,Peter Pan by J. M.  Barrie 
74,The Adventures of Tom Sawyer by Mark Twain 
1952,The Yellow Wallpaper by Charlotte Perkins Gilman 
1400,Great Expectations by Charles Dickens 
2701,"Moby Dick; Or, The Whale by Herman Melville "
52225,The Temptation of St. Anthony by Gustave Flaubert 
158,Emma by Jane Austen 
174,The Picture of Dorian Gray by Oscar Wilde 
1260,Jane Eyre: An Autobiography by Charlotte Bront‚¨ 
946,Lady Susan by Jane Austen 
1184,"The Count of Monte Cristo, Illustrated by Alexandre Dumas "
12,Through the Looking-Glass by Lewis Carroll 
120,Treasure Island by Robert Louis Stevenson 
23,"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass "
135,Les Mis‚ürables by Victor Hugo 
2542,A Doll's House : a play by Henrik Ibsen 
52235,The Governor of England by Marjorie Bowen 
52237,His Most Gracious Majesty King Edward VII by Marie Belloc Lowndes 
33644,The Secret of the Ninth Planet by Donald A. Wollheim 
52233,"The Legend of Dah-nol-yo, Squaw Rock by Helen McCowen Carpenter "
35,The Time Machine by H. G.  Wells 
42,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson 
768,Wuthering Heights by Emily Bront‚¨ 
829,Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift 
28054,The Brothers Karamazov by Fyodor Dostoyevsky 
1112,The Tragedy of Romeo and Juliet by William Shakespeare 
29728,De re coquinaria. English by Apicius 
1399,Anna Karenina by graf Leo Tolstoy 
2500,Siddhartha by Hermann Hesse 
2554,Prestuplenie i nakazanie. English by Fyodor Dostoyevsky 
4363,Beyond Good and Evil by Friedrich Wilhelm Nietzsche 
863,The Mysterious Affair at Styles by Agatha Christie 
30601,How to Analyze People on Sight by Elsie Lincoln Benedict and Ralph Paine Benedict 
996,Don Quixote by Miguel de Cervantes Saavedra 
28520,Forbidden Fruit by Anonymous 
31284,Josefine Mutzenbacher by Felix Salten 
1497,The Republic by Plato 
219,Heart of Darkness by Joseph Conrad 
244,A Study in Scarlet by Arthur Conan Doyle 
2814,Dubliners by James Joyce 
21279, B R   B by Kurt Vonnegut 
161,Sense and Sensibility by Jane Austen 
14264,The Practice and Science of Drawing by Harold Speed 
20203,Autobiography of Benjamin Franklin by Benjamin Franklin 
36,The War of the Worlds by H. G.  Wells 
3207,Leviathan by Thomas Hobbes 
205,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau "
8800,"The Divine Comedy by Dante, Illustrated by Dante Alighieri "
105,Persuasion by Jane Austen 
25305,Memoirs Of Fanny Hill by John Cleland 
55,The Wonderful Wizard of Oz by L. Frank  Baum 
52244,Mail Carrying Railways Underpaid by Committee on Railway Mail Pay 
52263,The Twilight of the Idols - The Antichrist by Friedrich Wilhelm Nietzsche 
52242,The Life of Tolstoy: First Fifty Years by Aylmer Maude 
3600,Essays of Michel de Montaigne ‰ÛÓ Complete by Michel de Montaigne 
730,Oliver Twist by Charles Dickens 
25717,The History Of The Decline And Fall Of The Roman Empire by Edward Gibbon 
996,Don Quixote by Miguel de Cervantes Saavedra 
526,Heart of Darkness by Joseph Conrad 
52258,"History of the Royal Regiment of Artillery, Vol.  by Francis Duncan "
3207,Leviathan by Thomas Hobbes 
514,Little Women by Louisa May Alcott 
2147,The Works of Edgar Allan Poe ‰ÛÓ Volume  by Edgar Allan Poe 
766,David Copperfield by Charles Dickens 
52225,The Temptation of St. Anthony by Gustave Flaubert 
6130,The Iliad by Homer 
2413,Madame Bovary by Gustave Flaubert 
