0,wrd_length,total_char,syl_count,syl_sum,sentiment
"Down the Rabbit-Hole  Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversations?'","[4, 3, 11, 5, 3, 9, 2, 3, 4, 5, 2, 7, 2, 3, 6, 2, 3, 4, 3, 2, 6, 7, 2, 2, 4, 2, 5, 3, 3, 6, 4, 3, 4, 3, 6, 3, 7, 3, 2, 3, 2, 8, 2, 13, 2, 2, 4, 4, 2, 3, 3, 2, 1, 4, 7, 5, 8, 8, 2, 13]",256,"[1 1 3 2 1 3 1 1 2 1 1 2 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 0 1 1 2 1 1 1 2 1 3
 1 1 1 1 2 1 4 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 4]",83,-0.337777777778
"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.","[2, 3, 3, 11, 2, 3, 3, 4, 2, 4, 2, 3, 5, 3, 3, 3, 3, 4, 3, 4, 4, 6, 3, 6, 7, 3, 8, 2, 6, 1, 11, 5, 2, 5, 3, 7, 2, 7, 2, 3, 7, 3, 7, 4, 8, 1, 5, 6, 4, 4, 4, 3, 5, 2, 3]",229,"[1 0 1 4 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 2 2 1 2 2 1 3 1 2 1 3 1 1 1 1 1 1
 2 1 1 2 1 2 1 3 1 1 2 1 1 0 1 1 1 1]",70,0.03125
"There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear!","[5, 3, 7, 2, 4, 10, 2, 4, 3, 3, 5, 5, 2, 2, 4, 4, 3, 2, 3, 3, 2, 4, 3, 6, 3, 2, 6, 3, 4]",109,[1 1 2 1 2 3 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 2 1 2],39,0.65
Oh dear!,"[2, 4]",6,[1 2],3,0.0
I shall be late!',"[1, 5, 2, 4]",12,[1 1 1 1],4,-0.375
"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.","[4, 3, 7, 2, 4, 10, 2, 8, 2, 3, 4, 3, 5, 2, 4, 8, 2, 4, 3, 2, 3, 4, 2, 3, 6, 5, 7, 3, 4, 3, 6, 8, 4, 1, 5, 3, 2, 3, 16, 3, 6, 2, 2, 3, 4, 7, 2, 5, 7, 2, 3, 4, 3, 2, 7, 6, 3, 4, 4, 3, 3, 5, 6, 4, 1, 6, 4, 6, 1, 16, 2, 1, 5, 2, 4, 3, 2, 2, 3, 7, 4, 9, 3, 3, 6, 3, 5, 5, 2, 3, 11, 3, 4, 2, 4, 2, 3, 2, 3, 4, 1, 5, 11, 5, 3, 5]",446,"[1 0 1 1 2 3 1 2 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 2 3 1 1 1 1 1
 1 4 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1 0 1 2 2 1 1 2 1 2 1 4 1 1 1 1
 1 1 1 1 1 2 1 4 0 1 2 1 2 2 1 1 5 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1]",139,0.111746031746
"In another moment down went Alice after it, never once considering how in the world she was to get out again.","[2, 7, 6, 4, 4, 5, 5, 2, 5, 4, 11, 3, 2, 3, 5, 3, 3, 2, 3, 3, 5]",87,[1 3 2 1 1 2 2 1 2 1 4 1 1 1 1 0 1 1 1 1 2],30,-0.155555555556
"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.","[3, 11, 4, 8, 2, 4, 1, 6, 3, 4, 3, 3, 4, 6, 8, 4, 2, 8, 4, 5, 3, 3, 1, 6, 2, 5, 5, 8, 7, 6, 3, 5, 7, 7, 4, 1, 4, 4, 4]",178,"[1 3 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 3 1 2 1 1 1 2 1 1 2 2 2 2 0 1 2 2 1 1 2
 1 1]",54,-0.0222222222222
"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.","[6, 3, 4, 3, 4, 4, 2, 3, 4, 4, 6, 3, 3, 3, 6, 2, 4, 2, 3, 4, 4, 2, 4, 5, 3, 3, 2, 6, 4, 3, 5, 2, 6, 4]",126,[2 1 1 1 2 1 1 0 1 2 2 1 0 1 2 1 1 1 0 1 1 1 1 2 1 1 1 2 1 1 1 1 2 1],39,-0.136388888889
"First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.","[5, 3, 5, 2, 4, 4, 3, 4, 3, 4, 3, 3, 6, 2, 3, 2, 3, 3, 4, 2, 3, 8, 4, 3, 6, 2, 3, 5, 2, 3, 4, 3, 7, 4, 4, 4, 6, 4, 9, 3, 12, 4, 3, 5, 3, 3, 4, 3, 8, 4, 4, 4]",212,"[1 0 1 1 1 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 3 1 0 1 1 1 1 1 1 1 1 2 1 1 1 1
 1 2 1 2 1 1 1 0 1 1 1 2 1 2 1]",56,0.0861111111111
"She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.","[3, 4, 4, 1, 3, 4, 3, 2, 3, 7, 2, 3, 6, 2, 3, 8, 7, 9, 3, 2, 3, 5, 14, 2, 3, 5, 3, 3, 3, 4, 2, 4, 3, 3, 3, 4, 2, 7, 8, 2, 7, 2, 3, 2, 4, 3, 2, 3, 9, 2, 3, 4, 4, 2]",212,"[0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 2 3 1 1 1 2 4 1 1 2 0 1 1 1 1 1 1 1 1 2 1
 2 4 1 2 1 1 1 2 1 1 1 2 1 0 1 1 1]",67,-0.0611111111111
'Well!',[5],5,[1],1,0.0
"thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs!","[7, 5, 2, 7, 6, 4, 1, 4, 2, 4, 1, 5, 5, 7, 2, 8, 4, 6]",80,[1 2 1 2 2 1 1 1 1 1 1 1 1 2 1 2 1 1],23,-0.0972222222222
How brave they'll all think me at home!,"[3, 5, 4, 3, 3, 5, 2, 2, 4]",31,[1 1 1 0 1 1 1 1 1],8,1.0
"Why, I wouldn't say anything about it, even if I fell off the top of the house!'","[3, 1, 5, 3, 3, 8, 5, 2, 4, 2, 1, 4, 3, 3, 3, 2, 3, 5]",60,[1 1 1 0 1 3 2 1 2 1 1 1 1 1 1 1 1 1],21,0.625
(Which was very likely true.),"[5, 3, 4, 6, 4]",22,[1 1 2 3 0],7,0.175
"Down, down, down.","[4, 4, 4]",12,[1 1 1],3,-0.155555555556
Would the fall NEVER come to an end!,"[5, 3, 4, 5, 4, 2, 2, 3]",28,[1 1 1 2 1 1 1 1],9,0.0
