0,wrd_length,total_char,syl_count,syl_sum,sentiment
"I shall not here argue the two main points dealt with in the work just mentioned; I have nothing either to add to, or to withdraw from, what I have there written.","[1, 5, 3, 4, 5, 3, 3, 4, 6, 5, 4, 2, 3, 4, 4, 9, 1, 4, 7, 6, 2, 3, 2, 2, 2, 8, 4, 4, 1, 4, 5, 7]",127,[1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 2 1 1 1 1 1 2 1 1 1 1 1 2],38,0.166666666667
"The points in question are:  (1) that the ""Odyssey"" was written entirely at, and drawn entirely from, the place now called Trapani on the West Coast of Sicily, alike as regards the Phaeacian and the Ithaca scenes; while the voyages of Ulysses, when once he is within easy reach of Sicily, solve themselves into a periplus of the island, practically from Trapani back to Trapani, via the Lipari islands, the Straits of Messina, and the island of Pantellaria.","[3, 6, 2, 8, 3, 1, 4, 3, 7, 3, 7, 8, 2, 3, 5, 8, 4, 3, 5, 3, 6, 7, 2, 3, 4, 5, 2, 6, 5, 2, 7, 3, 9, 3, 3, 6, 6, 5, 3, 7, 2, 7, 4, 4, 2, 2, 6, 4, 5, 2, 6, 5, 10, 4, 1, 8, 2, 3, 6, 11, 4, 7, 4, 2, 7, 3, 3, 6, 7, 3, 7, 2, 7, 3, 3, 6, 2, 11]",363,"[1 1 1 2 1 0 1 1 3 1 2 4 1 1 1 4 1 1 1 1 1 3 1 1 1 1 1 3 2 1 2 1 4 1 1 3 1
 1 1 2 1 2 1 1 1 1 2 3 2 1 3 1 2 2 1 3 1 1 2 4 1 3 1 1 3 2 1 3 2 1 1 1 3 1
 1 2 1 5]",129,-0.0633333333333
"(2) That the poem was entirely written by a very young woman, who lived at the place now called Trapani, and introduced herself into her work under the name of Nausicaa.","[1, 4, 3, 4, 3, 8, 7, 2, 1, 4, 5, 5, 3, 5, 2, 3, 5, 3, 6, 7, 3, 10, 7, 4, 3, 4, 5, 3, 4, 2, 8]",134,[0 1 1 1 1 4 2 1 1 2 1 2 1 1 1 1 1 1 1 3 1 3 2 2 1 1 2 1 1 1 3],45,0.065
"The main arguments on which I base the first of these somewhat startling contentions, have been prominently and repeatedly before the English and Italian public ever since they appeared (without rejoinder) in the ""Athenaeum"" for January 30 and February 20, 1892.","[3, 4, 9, 2, 5, 1, 4, 3, 5, 2, 5, 8, 9, 11, 4, 4, 11, 3, 10, 6, 3, 7, 3, 7, 6, 4, 5, 4, 8, 7, 9, 2, 3, 9, 3, 7, 2, 3, 8, 2, 4]",215,"[1 1 3 1 1 1 1 1 1 1 1 3 2 3 1 1 4 1 5 2 1 2 1 4 2 2 1 1 3 2 3 1 1 3 1 3 0
 1 3 0 0]",70,-0.0479166666667
"Both contentions were urged (also without rejoinder) in the Johnian ""Eagle"" for the Lent and October terms of the same year.","[4, 11, 4, 5, 4, 7, 9, 2, 3, 7, 5, 3, 3, 4, 3, 7, 5, 2, 3, 4, 4]",99,[1 3 1 1 2 2 3 1 1 3 2 1 1 1 1 3 1 1 1 1 2],33,0.0
"Nothing to which I should reply has reached me from any quarter, and knowing how anxiously I have endeavoured to learn the existence of any flaws in my argument, I begin to feel some confidence that, did such flaws exist, I should have heard, at any rate about some of them, before now.","[7, 2, 5, 1, 6, 5, 3, 7, 2, 4, 3, 7, 3, 7, 3, 9, 1, 4, 11, 2, 5, 3, 9, 2, 3, 5, 2, 2, 8, 1, 5, 2, 4, 4, 10, 4, 3, 4, 5, 5, 1, 6, 4, 5, 2, 3, 4, 5, 4, 2, 4, 6, 3]",227,"[2 1 1 1 1 2 1 2 1 1 2 2 1 2 1 3 1 1 4 1 2 1 3 1 2 1 1 1 3 1 2 1 1 1 3 1 1
 1 1 2 1 1 1 2 1 2 1 2 1 1 1 2 1]",78,-0.125
"Without, therefore, for a moment pretending to think that scholars generally acquiesce in my conclusions, I shall act as thinking them little likely so to gainsay me as that it will be incumbent upon me to reply, and shall confine myself to translating the ""Odyssey"" for English readers, with such notes as I think will be found useful.","[7, 9, 3, 1, 6, 10, 2, 5, 4, 8, 9, 9, 2, 2, 11, 1, 5, 3, 2, 8, 4, 6, 6, 2, 2, 7, 2, 2, 4, 2, 4, 2, 9, 4, 2, 2, 5, 3, 5, 7, 6, 2, 11, 3, 7, 3, 7, 7, 4, 4, 5, 2, 1, 5, 4, 2, 5, 6]",271,"[2 3 1 1 2 3 1 1 1 2 4 3 1 1 3 1 1 1 1 2 1 1 3 1 1 2 1 1 1 1 1 1 3 2 1 1 2
 1 1 2 2 1 3 1 3 1 2 3 1 1 1 1 1 1 1 1 1 3]",91,0.0270833333333
Among these I would especially call attention to one on xxii.,"[5, 5, 1, 5, 10, 4, 9, 2, 3, 2, 4]",50,[2 1 1 1 5 1 3 1 1 1 1],18,0.0
465-473 which Lord Grimthorpe has kindly allowed me to make public.,"[7, 5, 4, 10, 3, 6, 7, 2, 2, 4, 6]",56,[0 1 1 2 1 2 2 1 1 1 2],14,0.3
"I have repeated several of the illustrations used in ""The Authoress of the Odyssey"", and have added two which I hope may bring the outer court of Ulysses' house more vividly before the reader.","[1, 4, 8, 7, 2, 3, 13, 4, 2, 3, 9, 2, 3, 7, 3, 4, 5, 3, 5, 1, 4, 3, 5, 3, 5, 5, 2, 7, 5, 4, 7, 6, 3, 6]",154,[1 1 3 3 1 1 4 1 1 1 3 1 1 3 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 3 2 1 3],52,0.208333333333
"I should like to explain that the presence of a man and a dog in one illustration is accidental, and was not observed by me till I developed the negative.","[1, 6, 4, 2, 7, 4, 3, 8, 2, 1, 3, 3, 1, 3, 2, 3, 12, 2, 10, 3, 3, 3, 8, 2, 2, 4, 1, 9, 3, 8]",123,[1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 4 1 4 1 1 1 2 1 1 1 1 3 1 3],43,-0.1
"In an appendix I have also reprinted the paragraphs explanatory of the plan of Ulysses' house, together with the plan itself.","[2, 2, 8, 1, 4, 4, 9, 3, 10, 11, 2, 3, 4, 2, 7, 5, 8, 4, 3, 4, 6]",102,[1 1 3 1 1 2 2 1 3 5 1 1 1 1 2 1 3 1 1 1 2],35,0.0
The reader is recommended to study this plan with some attention.,"[3, 6, 2, 11, 2, 5, 4, 4, 4, 4, 9]",54,[1 3 1 3 1 2 1 1 1 1 3],18,0.0
"In the preface to my translation of the ""Iliad"" I have given my views as to the main principles by which a translator should be guided, and need not repeat them here, beyond pointing out that the initial liberty of translating poetry into prose involves the continual taking of more or less liberty throughout the translation; for much that is right in poetry is wrong in prose, and the exigencies of readable prose are the first things to be considered in a prose translation.","[2, 3, 7, 2, 2, 11, 2, 3, 5, 1, 4, 5, 2, 5, 2, 2, 3, 4, 10, 2, 5, 1, 10, 6, 2, 6, 3, 4, 3, 6, 4, 4, 6, 8, 3, 4, 3, 7, 7, 2, 11, 6, 4, 5, 8, 3, 9, 6, 2, 4, 2, 4, 7, 10, 3, 11, 3, 4, 4, 2, 5, 2, 6, 2, 5, 2, 5, 3, 3, 10, 2, 8, 5, 3, 3, 5, 6, 2, 2, 10, 2, 1, 5, 11]",387,"[1 1 2 1 1 3 1 1 3 1 1 2 1 2 1 1 1 1 2 1 1 1 3 1 1 1 1 0 1 3 1 1 1 2 1 1 1
 4 3 1 3 2 2 1 2 1 3 2 1 1 1 1 3 2 1 3 1 1 1 1 1 1 2 1 1 1 1 1 1 4 1 3 1 1
 1 1 1 1 1 3 1 1 1 3]",124,0.0919642857143
"That the reader, however, may see how far I have departed from strict construe, I will print here Messrs. Butcher and Lang's translation of the sixty lines or so of the ""Odyssey.""","[4, 3, 6, 7, 3, 3, 3, 3, 1, 4, 8, 4, 6, 8, 1, 4, 5, 4, 6, 7, 3, 4, 2, 11, 2, 3, 5, 5, 2, 2, 2, 3, 7]",141,[1 1 3 3 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 0 3 1 1 2 1 1 1 1 1 3],43,0.1
"Their translation runs:    Tell me, Muse, of that man, so ready at need, who wandered   far and wide, after he had sacked the sacred citadel of   Troy, and many were the men whose towns he saw and whose   mind he learnt, yea, and many the woes he suffered in his   heart on the deep, striving to win his own life and the   return of his company.","[5, 11, 4, 4, 2, 4, 2, 4, 3, 2, 5, 2, 4, 3, 8, 3, 3, 4, 5, 2, 3, 6, 3, 6, 7, 2, 4, 3, 4, 4, 3, 3, 5, 5, 2, 3, 3, 5, 4, 2, 6, 3, 3, 4, 3, 4, 2, 8, 2, 3, 5, 2, 3, 4, 8, 2, 3, 3, 3, 4, 3, 3, 6, 2, 3, 7]",256,"[1 3 1 1 1 1 1 1 1 1 3 1 0 1 2 1 1 1 2 1 1 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1
 1 1 1 2 2 1 2 1 0 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 3]",82,0.325
"Nay, but even so he saved not his   company, though he desired it sore.","[3, 3, 4, 2, 2, 5, 3, 3, 7, 6, 2, 7, 2, 4]",53,[1 1 2 1 1 1 1 1 3 1 1 2 1 1],18,0.0
"For through the   blindness of their own hearts they perished, fools, who   devoured the oxen of Helios Hyperion: but the god took from   them their day of returning.","[3, 7, 3, 9, 2, 5, 3, 6, 4, 8, 5, 3, 8, 3, 4, 2, 6, 8, 3, 3, 3, 4, 4, 4, 5, 3, 2, 9]",129,[1 1 1 2 1 1 1 2 1 2 1 1 2 1 2 1 2 3 1 1 1 1 1 1 1 1 1 3],38,0.6
"Of these things, goddess,   daughter of Zeus, whencesoever thou hast heard thereof,   declare thou even unto us.","[2, 5, 6, 7, 8, 2, 4, 12, 4, 4, 5, 7, 7, 4, 4, 4, 2]",87,[1 1 1 2 2 1 1 4 1 1 2 2 2 1 2 2 1],27,0.0
"Now all the rest, as many as fled from sheer destruction,   were at home, and had escaped both war and sea, but   Odysseus only, craving for his wife and for his homeward   path, the lady nymph Calypso held, that fair goddess, in her   hollow caves, longing to have him for her lord.","[3, 3, 3, 4, 2, 4, 2, 4, 4, 5, 11, 4, 2, 4, 3, 3, 7, 4, 3, 3, 3, 3, 8, 4, 7, 3, 3, 4, 3, 3, 3, 8, 4, 3, 4, 5, 7, 4, 4, 4, 7, 2, 3, 6, 5, 7, 2, 4, 3, 3, 3, 4]",214,"[1 1 1 1 1 2 1 0 1 1 3 1 1 1 1 1 2 1 1 1 2 1 3 2 2 1 1 1 1 1 1 3 1 1 2 1 3
 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1]",68,0.22
