0,wrd_length,total_char,syl_count,syl_sum,sentiment
He held the bowl aloft and intoned:  --_Introibo ad altare Dei_.,"[2, 4, 3, 4, 5, 3, 7, 8, 2, 6, 3]",47,[1 1 1 1 2 1 2 3 1 2 1],16,0.0
"Halted, he peered down the dark winding stairs and called out coarsely:  --Come up, Kinch!","[6, 2, 6, 4, 3, 4, 7, 6, 3, 6, 3, 8, 4, 2, 5]",69,[1 1 1 1 1 1 2 1 1 1 1 3 1 1 1],18,-0.101851851852
"Come up, you fearful jesuit!","[4, 2, 3, 7, 6]",22,[1 1 1 3 2],8,-1.0
Solemnly he came forward and mounted the round gunrest.,"[8, 2, 4, 7, 3, 7, 3, 5, 7]",46,[3 1 1 2 1 1 1 1 2],13,-0.2
"He faced about and blessed gravely thrice the tower, the surrounding land and the awaking mountains.","[2, 5, 5, 3, 7, 7, 6, 3, 5, 3, 11, 4, 3, 3, 7, 9]",83,[1 1 2 1 1 3 1 1 2 1 3 1 1 1 3 2],25,0.0
"Then, catching sight of Stephen Dedalus, he bent towards him and made rapid crosses in the air, gurgling in his throat and shaking his head.","[4, 8, 5, 2, 7, 7, 2, 4, 7, 3, 3, 4, 5, 7, 2, 3, 3, 8, 2, 3, 6, 3, 7, 3, 4]",112,[1 2 1 1 2 3 1 1 2 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 2],34,0.6
"Stephen Dedalus, displeased and sleepy, leaned his arms on the top of the staircase and looked coldly at the shaking gurgling face that blessed him, equine in its length, and at the light untonsured hair, grained and hued like pale oak.","[7, 7, 10, 3, 6, 6, 3, 4, 2, 3, 3, 2, 3, 9, 3, 6, 6, 2, 3, 7, 8, 4, 4, 7, 3, 6, 2, 3, 6, 3, 2, 3, 5, 10, 4, 7, 3, 4, 4, 4, 3]",190,"[2 3 3 1 2 2 1 1 1 1 1 1 1 2 1 1 2 1 1 2 2 1 1 1 1 2 1 1 1 1 1 1 1 3 1 1 1
 0 1 1 1]",54,0.0225
Buck Mulligan peeped an instant under the mirror and then covered the bowl smartly.,"[4, 8, 6, 2, 7, 5, 3, 6, 3, 4, 7, 3, 4, 7]",69,[1 3 1 1 2 2 1 2 1 1 2 1 1 2],21,0.107142857143
--Back to barracks!,"[4, 2, 8]",14,[1 1 2],4,0.0
he said sternly.,"[2, 4, 7]",13,[1 1 2],4,0.0
"He added in a preacher's tone:  --For this, O dearly beloved, is the genuine Christine: body and soul and blood and ouns.","[2, 5, 2, 1, 8, 2, 4, 3, 4, 1, 6, 7, 2, 3, 7, 9, 4, 3, 4, 3, 5, 3, 4]",92,[1 1 1 1 3 0 1 1 1 1 3 2 1 1 2 2 2 1 1 1 1 1 1],30,0.55
"Slow music, please.","[4, 5, 6]",15,[1 2 2],5,-0.3
"Shut your eyes, gents.","[4, 4, 4, 5]",17,[1 1 0 1],3,0.0
One moment.,"[3, 6]",9,[1 2],3,0.0
A little trouble about those white corpuscles.,"[1, 6, 7, 5, 5, 5, 10]",39,[1 1 1 2 1 1 2],9,-0.129166666667
"Silence, all.","[7, 3]",10,[2 1],3,0.0
"He peered sideways up and gave a long slow whistle of call, then paused awhile in rapt attention, his even white teeth glistening here and there with gold points.","[2, 6, 8, 2, 3, 4, 1, 4, 4, 7, 2, 4, 4, 6, 6, 2, 4, 9, 3, 4, 5, 5, 10, 4, 3, 5, 4, 4, 6]",131,[1 1 3 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 2 1 1 3 1 1 1 1 1 1],37,-0.116666666667
Chrysostomos.,[12],12,[4],4,0.0
Two strong shrill whistles answered through the calm.,"[3, 6, 6, 8, 8, 7, 3, 4]",45,[1 1 1 1 2 1 1 1],9,0.111111111111
"--Thanks, old chap, he cried briskly.","[6, 3, 4, 2, 5, 7]",27,[1 1 1 1 1 2],7,0.15
That will do nicely.,"[4, 4, 2, 6]",16,[1 1 1 3],6,0.6
"Switch off the current, will you?","[6, 3, 3, 7, 4, 3]",26,[1 1 1 2 1 1],7,0.0
"He skipped off the gunrest and looked gravely at his watcher, gathering about his legs the loose folds of his gown.","[2, 7, 3, 3, 7, 3, 6, 7, 2, 3, 7, 9, 5, 3, 4, 3, 5, 5, 2, 3, 4]",93,[1 1 1 1 2 1 1 3 1 1 2 3 2 1 1 1 1 1 1 1 1],28,-0.0769230769231
"The plump shadowed face and sullen oval jowl recalled a prelate, patron of arts in the middle ages.","[3, 5, 8, 4, 3, 6, 4, 4, 8, 1, 7, 6, 2, 4, 2, 3, 6, 4]",80,[1 1 2 1 1 2 2 1 2 1 2 2 1 1 1 1 1 1],24,0.0
A pleasant smile broke quietly over his lips.,"[1, 8, 5, 5, 7, 4, 3, 4]",37,[1 3 1 1 3 2 1 1],13,0.344444444444
--The mockery of it!,"[3, 7, 2, 2]",14,[1 3 1 1],6,0.0
he said gaily.,"[2, 4, 5]",11,[1 1 2],4,0.416666666667
"Your absurd name, an ancient Greek!","[4, 6, 4, 2, 7, 5]",28,[1 2 1 1 3 1],9,-0.25
"He pointed his finger in friendly jest and went over to the parapet, laughing to himself.","[2, 7, 3, 6, 2, 8, 4, 3, 4, 4, 2, 3, 7, 8, 2, 7]",72,[1 1 1 2 1 3 1 1 1 2 1 1 3 2 1 2],24,0.375
"Stephen Dedalus stepped up, followed him wearily halfway and sat down on the edge of the gunrest, watching him still as he propped his mirror on the parapet, dipped the brush in the bowl and lathered cheeks and neck.","[7, 7, 7, 2, 8, 3, 7, 7, 3, 3, 4, 2, 3, 4, 2, 3, 7, 8, 3, 5, 2, 2, 7, 3, 6, 2, 3, 7, 6, 3, 5, 2, 3, 4, 3, 8, 6, 3, 4]",174,"[2 3 1 1 2 1 4 2 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 2 1
 1 1]",53,-0.155555555556
Buck Mulligan's gay voice went on.,"[4, 8, 2, 3, 5, 4, 2]",28,[1 3 0 1 1 1 1],8,0.416666666667
"--My name is absurd too: Malachi Mulligan, two dactyls.","[2, 4, 2, 6, 3, 7, 8, 3, 7]",42,[1 1 1 2 1 3 3 1 2],15,-0.5
"But it has a Hellenic ring, hasn't it?","[3, 2, 3, 1, 8, 4, 3, 3, 2]",29,[1 1 1 1 3 1 1 0 1],10,0.0
Tripping and sunny like the buck himself.,"[8, 3, 5, 4, 3, 4, 7]",34,[2 1 2 1 1 1 2],10,0.0
We must go to Athens.,"[2, 4, 2, 2, 6]",16,[1 1 1 1 2],6,0.0
Will you come if I can get the aunt to fork out twenty quid?,"[4, 3, 4, 2, 1, 3, 3, 3, 4, 2, 4, 3, 6, 4]",46,[1 1 1 1 1 1 1 1 1 1 1 1 2 1],15,0.0
"He laid the brush aside and, laughing with delight, cried:  --Will he come?","[2, 4, 3, 5, 5, 3, 8, 4, 7, 5, 4, 2, 4]",56,[1 1 1 1 2 1 2 1 2 1 1 1 1],16,0.0
The jejune jesuit!,"[3, 6, 6]",15,[1 2 2],5,0.0
"Ceasing, he began to shave with care.","[7, 2, 5, 2, 5, 4, 4]",29,[3 1 2 1 1 1 1],10,0.0
"--Tell me, Mulligan, Stephen said quietly.","[4, 2, 8, 7, 4, 7]",32,[1 1 3 2 1 3],11,0.0
"--Yes, my love?","[3, 2, 4]",9,[0 1 1],2,0.5
--How long is Haines going to stay in this tower?,"[3, 4, 2, 6, 5, 2, 4, 2, 4, 5]",37,[1 1 1 1 1 1 1 1 1 2],11,-0.05
Buck Mulligan showed a shaven cheek over his right shoulder.,"[4, 8, 6, 1, 6, 5, 4, 3, 5, 8]",50,[1 3 1 1 2 1 2 1 1 2],15,0.285714285714
"--God, isn't he dreadful?","[3, 2, 3, 2, 8]",18,[1 1 0 1 3],6,-1.0
he said frankly.,"[2, 4, 7]",13,[1 1 2],4,0.0
A ponderous Saxon.,"[1, 9, 5]",15,[1 3 2],6,0.0
He thinks you're not a gentleman.,"[2, 6, 3, 3, 3, 1, 9]",27,[1 1 1 0 1 1 3],8,0.0
"God, these bloody English!","[3, 5, 6, 7]",21,[1 1 2 2],6,-0.4
Bursting with money and indigestion.,"[8, 4, 5, 3, 11]",31,[2 1 2 1 4],10,0.0
Because he comes from Oxford.,"[7, 2, 5, 4, 6]",24,[2 1 1 1 2],7,0.0
"You know, Dedalus, you have the real Oxford manner.","[3, 4, 7, 3, 4, 3, 4, 6, 6]",40,[1 1 3 1 1 1 2 2 2],14,0.2
He can't make you out.,"[2, 2, 3, 4, 3, 3]",17,[1 1 0 1 1 1],5,0.0
"O, my name for you is the best: Kinch, the knife-blade.","[1, 2, 4, 3, 3, 2, 3, 4, 5, 3, 11]",41,[1 1 1 1 1 1 1 1 1 1 3],13,1.0
He shaved warily over his chin.,"[2, 6, 6, 4, 3, 4]",25,[1 1 3 2 1 1],9,-0.5
"--He was raving all night about a black panther, Stephen said.","[2, 3, 6, 3, 5, 5, 1, 5, 7, 7, 4]",48,[1 1 2 1 1 2 1 1 2 2 1],15,-0.166666666667
Where is his guncase?,"[5, 2, 3, 7]",17,[1 1 1 2],5,0.0
--A woful lunatic!,"[1, 5, 7]",13,[1 2 3],6,0.0
Mulligan said.,"[8, 4]",12,[3 1],4,0.0
Were you in a funk?,"[4, 3, 2, 1, 4]",14,[1 1 1 1 1],5,0.0
"--I was, Stephen said with energy and growing fear.","[1, 3, 7, 4, 4, 6, 3, 7, 4]",39,[1 1 2 1 1 3 1 2 2],14,0.0
Out here in the dark with a man I don't know raving and moaning to himself about shooting a black panther.,"[3, 4, 2, 3, 4, 4, 1, 3, 1, 2, 3, 4, 6, 3, 7, 2, 7, 5, 8, 1, 5, 7]",85,[1 1 1 1 1 1 1 1 1 1 0 1 2 1 2 1 2 2 2 1 1 2],27,-0.158333333333
You saved men from drowning.,"[3, 5, 3, 4, 8]",23,[1 1 1 1 2],6,0.0
"I'm not a hero, however.","[1, 2, 3, 1, 4, 7]",18,[1 0 1 1 2 3],8,0.0
If he stays on here I am off.,"[2, 2, 5, 2, 4, 1, 2, 3]",21,[1 1 1 1 1 1 1 1],8,0.0
Buck Mulligan frowned at the lather on his razorblade.,"[4, 8, 7, 2, 3, 6, 2, 3, 10]",45,[1 3 1 1 1 2 1 1 3],14,0.0
He hopped down from his perch and began to search his trouser pockets hastily.,"[2, 6, 4, 4, 3, 5, 3, 5, 2, 6, 3, 7, 7, 7]",64,[1 1 1 1 1 1 1 2 1 2 1 2 2 3],20,-0.155555555556
--Scutter!,[7],7,[2],2,0.0
he cried thickly.,"[2, 5, 7]",14,[1 1 2],4,-0.3
"He came over to the gunrest and, thrusting a hand into Stephen's upper pocket, said:  --Lend us a loan of your noserag to wipe my razor.","[2, 4, 4, 2, 3, 7, 3, 9, 1, 4, 4, 7, 2, 5, 6, 4, 4, 2, 1, 4, 2, 4, 7, 2, 4, 2, 5]",104,[1 1 2 1 1 2 1 2 1 1 2 2 0 2 2 1 1 1 1 1 1 1 3 1 1 1 2],36,0.0
Stephen suffered him to pull out and hold up on show by its corner a dirty crumpled handkerchief.,"[7, 8, 3, 2, 4, 3, 3, 4, 2, 2, 4, 2, 3, 6, 1, 5, 8, 12]",79,[2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 4],25,-0.6
Buck Mulligan wiped the razorblade neatly.,"[4, 8, 5, 3, 10, 6]",36,[1 3 1 1 3 3],12,0.0
"Then, gazing over the handkerchief, he said:  --The bard's noserag!","[4, 6, 4, 3, 12, 2, 4, 3, 4, 2, 7]",51,[1 2 2 1 4 1 1 1 1 0 3],17,0.0
A new art colour for our Irish poets: snotgreen.,"[1, 3, 3, 6, 3, 3, 5, 5, 9]",38,[1 1 1 2 1 1 2 1 2],12,0.0681818181818
"You can almost taste it, can't you?","[3, 3, 6, 5, 2, 2, 3, 3]",27,[1 1 2 1 1 1 0 1],8,0.0
"He mounted to the parapet again and gazed out over Dublin bay, his fair oakpale hair stirring slightly.","[2, 7, 2, 3, 7, 5, 3, 5, 3, 4, 6, 3, 3, 4, 7, 4, 8, 8]",84,[1 1 1 1 3 2 1 1 1 2 2 1 1 1 2 1 2 2],26,0.266666666667
--God!,[3],3,[1],1,0.0
he said quietly.,"[2, 4, 7]",13,[1 1 3],5,0.0
Isn't the sea what Algy calls it: a grey sweet mother?,"[2, 3, 3, 3, 4, 4, 5, 2, 1, 4, 5, 6]",42,[1 0 1 2 1 2 1 1 1 1 1 2],14,0.15
The snotgreen sea.,"[3, 9, 3]",15,[1 2 2],5,0.0
The scrotumtightening sea.,"[3, 17, 3]",23,[1 5 2],8,0.0
_Epi oinopa ponton_.,"[3, 6, 6]",15,[2 3 2],7,0.0
"Ah, Dedalus, the Greeks!","[2, 7, 3, 6]",18,[1 3 1 1],6,0.0
I must teach you.,"[1, 4, 5, 3]",13,[1 1 2 1],5,0.0
You must read them in the original.,"[3, 4, 4, 4, 2, 3, 8]",28,[1 1 2 1 1 1 4],11,0.375
_Thalatta!,[8],8,[3],3,0.0
Thalatta_!,[8],8,[3],3,0.0
She is our great sweet mother.,"[3, 2, 3, 5, 5, 6]",24,[0 1 1 2 1 2],7,0.575
Come and look.,"[4, 3, 4]",11,[1 1 1],3,0.0
Stephen stood up and went over to the parapet.,"[7, 5, 2, 3, 4, 4, 2, 3, 7]",37,[2 1 1 1 1 2 1 1 3],13,0.0
Leaning on it he looked down on the water and on the mailboat clearing the harbourmouth of Kingstown.,"[7, 2, 2, 2, 6, 4, 2, 3, 5, 3, 2, 3, 8, 8, 3, 12, 2, 9]",83,[3 1 1 1 1 1 1 1 2 1 1 1 2 3 1 3 1 2],27,-0.155555555556
--Our mighty mother!,"[3, 6, 6]",15,[1 2 2],5,0.5
Buck Mulligan said.,"[4, 8, 4]",16,[1 3 1],5,0.0
He turned abruptly his grey searching eyes from the sea to Stephen's face.,"[2, 6, 8, 3, 4, 9, 4, 4, 3, 3, 2, 7, 2, 4]",61,[1 1 3 1 1 3 0 1 1 2 1 2 0 1],18,-0.0875
"--The aunt thinks you killed your mother, he said.","[3, 4, 6, 3, 6, 4, 6, 2, 4]",38,[1 1 1 1 1 1 2 1 1],10,-0.2
That's why she won't let me have anything to do with you.,"[4, 2, 3, 3, 2, 3, 3, 2, 4, 8, 2, 2, 4, 3]",45,[1 0 1 0 1 0 1 1 1 3 1 1 1 1],13,0.0
"--Someone killed her, Stephen said gloomily.","[7, 6, 3, 7, 4, 8]",35,[2 1 1 2 1 3],10,-0.2
"--You could have knelt down, damn it, Kinch, when your dying mother asked you, Buck Mulligan said.","[3, 5, 4, 5, 4, 4, 2, 5, 4, 4, 5, 6, 5, 3, 4, 8, 4]",75,[1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1],20,-0.155555555556
I'm hyperborean as much as you.,"[1, 2, 11, 2, 4, 2, 3]",25,[1 0 5 1 1 1 1],10,0.2
But to think of your mother begging you with her last breath to kneel down and pray for her.,"[3, 2, 5, 2, 4, 6, 7, 3, 4, 3, 4, 6, 2, 5, 4, 3, 4, 3, 3]",73,[1 1 1 1 1 2 2 1 1 1 1 2 1 1 1 1 1 1 1],22,-0.0777777777778
And you refused.,"[3, 3, 7]",13,[1 1 2],4,0.0
There is something sinister in you...,"[5, 2, 9, 8, 2, 3]",29,[1 1 3 3 1 1],10,-0.5
He broke off and lathered again lightly his farther cheek.,"[2, 5, 3, 3, 8, 5, 7, 3, 7, 5]",48,[1 1 1 1 2 2 2 1 2 1],14,0.4
A tolerant smile curled his lips.,"[1, 8, 5, 6, 3, 4]",27,[1 3 1 1 1 1],8,0.3
--But a lovely mummer!,"[3, 1, 6, 6]",16,[1 1 3 2],7,0.625
he murmured to himself.,"[2, 8, 2, 7]",19,[1 2 1 2],6,0.0
