1342,Pride and Prejudice by Jane Austen 
11,Alice's Adventures in Wonderland by Lewis Carroll 
1661,The Adventures of Sherlock Holmes by Arthur Conan Doyle 
52257,When Sarah Saved the Day by Elsie Singmaster 
52247,A Man from the North by Arnold Bennett 
76,Adventures of Huckleberry Finn by Mark Twain 
5200,Metamorphosis by Franz Kafka 
236,The Jungle Book by Rudyard Kipling 
98,A Tale of Two Cities by Charles Dickens 
52251,"Constantinople, Vol. II of  by Edmondo De Amicis "
27827,The Kama Sutra of Vatsyayana by Vatsyayana 
844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde 
2701,"Moby Dick; Or, The Whale by Herman Melville "
30254,The Romance of Lust: A Classic Victorian erotic novel by Anonymous 
52256,"The Lead Pencil Manufactory of A. W. Faber at Stein near NÃ_rnberg, Bavaria by A. W. Faber "
345,Dracula by Bram Stoker 
4300,Ulysses by James Joyce 
158,Emma by Jane Austen 
2591,Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm 
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley "
1952,The Yellow Wallpaper by Charlotte Perkins Gilman 
174,The Picture of Dorian Gray by Oscar Wilde 
1400,Great Expectations by Charles Dickens 
2600,War and Peace by graf Leo Tolstoy 
74,The Adventures of Tom Sawyer by Mark Twain 
52245,Where Science and Religion Meet by William Scott Palmer 
1232,Il Principe. English by NiccolÃ_ Machiavelli 
1260,Jane Eyre: An Autobiography by Charlotte BrontÃ« 
2542,A Doll's House : a play by Henrik Ibsen 
52250,A Nurse's Life in War and Peace by Eleanor Constance Laurence 
52255,The Brownie Scouts and Their Tree House by Mildred A.  Wirt 
135,Les MisÃ©rables by Victor Hugo 
16,Peter Pan by J. M.  Barrie 
1184,"The Count of Monte Cristo, Illustrated by Alexandre Dumas "
52248,Across South America by Hiram Bingham 
100,The Complete Works of William Shakespeare by William Shakespeare 
946,Lady Susan by Jane Austen 
1322,Leaves of Grass by Walt Whitman 
16328,Beowulf 
768,Wuthering Heights by Emily BrontÃ« 
52254,The Brownie Scouts at Windmill Farm by Mildred A.  Wirt 
5740,Tractatus Logico-Philosophicus by Ludwig Wittgenstein 
1497,The Republic by Plato 
244,A Study in Scarlet by Arthur Conan Doyle 
30360,"My Secret Life, Volumes I. to III. by Anonymous "
1080,A Modest Proposal by Jonathan Swift 
120,Treasure Island by Robert Louis Stevenson 
12,Through the Looking-Glass by Lewis Carroll 
2500,Siddhartha by Hermann Hesse 
52228,Search the Sky by C. M.  Kornbluth and Frederik Pohl 
23,"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass "
521,The Life and Adventures of Robinson Crusoe by Daniel Defoe 
52249,Historical Record of the Third or Princes of Wales' Regiment of Dragoon Guards: From Its Formation i 
28054,The Brothers Karamazov by Fyodor Dostoyevsky 
30601,How to Analyze People on Sight by Elsie Lincoln Benedict and Ralph Paine Benedict 
2554,Prestuplenie i nakazanie. English by Fyodor Dostoyevsky 
52240,The Inner Flame by Clara Louise Burnham 
1112,The Tragedy of Romeo and Juliet by William Shakespeare 
161,Sense and Sensibility by Jane Austen 
829,Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift 
42,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson 
3672,The  CIA World Factbook by United States. Central Intelligence Agency 
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens 
35,The Time Machine by H. G.  Wells 
14264,The Practice and Science of Drawing by Harold Speed 
851,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson by Mary White Rowlandson 
51728,"Constantinople, Vol. I of  by Edmondo De Amicis "
20203,Autobiography of Benjamin Franklin by Benjamin Franklin 
219,Heart of Darkness by Joseph Conrad 
2814,Dubliners by James Joyce 
18251,Latin for Beginners by Benjamin L.  D'Ooge 
33283,Calculus Made Easy by Silvanus P.  Thompson 
52246,Boswell the Biographer by George Herbert Leigh Mallory 
52252,Spanish and Portuguese South America during the Colonial Period; Vol.  of  by Robert Grant Watson 
45,Anne of Green Gables by L. M.  Montgomery 
4363,Beyond Good and Evil by Friedrich Wilhelm Nietzsche 
10,The King James Version of the Bible 
1399,Anna Karenina by graf Leo Tolstoy 
863,The Mysterious Affair at Styles by Agatha Christie 
2148,The Works of Edgar Allan Poe â€” Volume  by Edgar Allan Poe 
308,Three Men in a Boat by Jerome K.  Jerome 
8800,"The Divine Comedy by Dante, Illustrated by Dante Alighieri "
55,The Wonderful Wizard of Oz by L. Frank  Baum 
52244,Mail Carrying Railways Underpaid by Committee on Railway Mail Pay 
52263,The Twilight of the Idols - The Antichrist by Friedrich Wilhelm Nietzsche 
52242,The Life of Tolstoy: First Fifty Years by Aylmer Maude 
3600,Essays of Michel de Montaigne â€” Complete by Michel de Montaigne 
730,Oliver Twist by Charles Dickens 
25717,The History Of The Decline And Fall Of The Roman Empire by Edward Gibbon 
996,Don Quixote by Miguel de Cervantes Saavedra 
526,Heart of Darkness by Joseph Conrad 
52258,"History of the Royal Regiment of Artillery, Vol.  by Francis Duncan "
205,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau "
3207,Leviathan by Thomas Hobbes 
514,Little Women by Louisa May Alcott 
2147,The Works of Edgar Allan Poe â€” Volume  by Edgar Allan Poe 
766,David Copperfield by Charles Dickens 
52225,The Temptation of St. Anthony by Gustave Flaubert 
6130,The Iliad by Homer 
2413,Madame Bovary by Gustave Flaubert 
